Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ADMIN login,25,0,180,195.16189599991776,139.4101000005321,303.15589999736403,339.0,0.209872256644026,0.0,180,210,230,230,250,260,300,300,300,300,300
POST,STUDENT login,150,0,200,201.76694866674856,111.43879999872297,345.1357999983884,358.37333333333333,1.259233539864156,0.0,200,220,230,250,280,290,300,300,350,350,350
POST,TEACHER login,75,0,230,228.34011866662573,124.28879999788478,345.9566999990784,352.0,0.629616769932078,0.0,230,250,270,280,290,300,310,350,350,350,350
GET,admin permissions,2024,0,11,26.248123221346745,5.059700000856537,1115.6057000007422,1716.0,16.991257897900347,0.0,11,13,16,18,30,61,230,370,1100,1100,1100
GET,admin users,2646,0,14,28.301235147389963,6.788100003177533,1069.09910000104,6141.0,22.212879643203713,0.0,14,17,21,24,41,79,220,330,880,1100,1100
GET,health live,5467,0,5,12.176102579105939,1.9969000022683758,880.2176999997755,17.0,45.89486508291561,0.0,5,6,7,8,12,26,120,170,750,880,880
POST,student anti-cheat,159,0,18,61.58541006285224,6.59799999993993,689.036899999337,248.50314465408806,1.3347875522560055,0.0,18,36,55,75,160,290,470,630,690,690,690
GET,student assigned exams,16274,0,10,22.925352998646808,4.428899999766145,1108.299999999872,550.2676047683422,136.61844418499518,0.0,10,13,16,18,29,61,180,300,790,1000,1100
PUT,student autosave,301,0,67,176.079026578039,11.709600003086962,950.0439999974333,112.01328903654485,2.5268619699940733,0.0,67,170,240,300,530,700,850,910,950,950,950
GET,student questions,150,0,17,24.799250666692387,8.395900000323309,133.16320000012638,541.0,1.259233539864156,0.0,17,21,25,32,47,81,120,130,130,130,130
POST,student start,150,0,240,310.51295933337923,48.71429999911925,647.6833999986411,379.0,1.259233539864156,0.0,250,400,510,530,580,610,640,640,650,650,650
POST,student submit,150,0,42,123.64870933333198,14.639599998190533,699.2477999992843,211.0,1.259233539864156,0.0,43,100,170,210,320,520,600,600,700,700,700
GET,teacher anti-cheat subjects,2946,0,10,21.696015308875392,4.387799999676645,1128.5613000000012,98.0,24.731346722932027,0.0,10,12,15,17,29,64,180,270,660,1100,1100
POST,teacher audited exam create,1,0,32.48619999794755,32.48619999794755,32.48619999794755,32.48619999794755,590.0,0.00839489026576104,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,teacher exams,5841,0,13,28.71826952571044,5.424700000730809,1180.0456999990274,230.92826570792673,49.03455404231024,0.0,13,16,20,23,39,83,220,330,1100,1200,1200
GET,teacher question bank,4374,0,11,26.129807110185084,5.006900002626935,1108.4640999979456,821.0,36.71925002243879,0.0,11,14,17,19,33,73,210,340,1000,1100,1100
,Aggregated,40733,0,10,26.94510487073192,1.9969000022683758,1180.0456999990274,842.8295730734294,341.9490651952445,0.0,10,13,17,19,35,100,240,390,910,1100,1200
