Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ADMIN login,25,0,220,234.6811560005881,111.2055000012333,370.42980000114767,339.0,0.20961053517147282,0.0,220,280,310,340,360,370,370,370,370,370,370
POST,STUDENT login,150,0,200,211.10117200024737,88.75959999932093,399.68660000158707,358.37333333333333,1.257663211028837,0.0,200,230,240,270,320,350,390,400,400,400,400
POST,TEACHER login,75,0,220,235.0747079999322,96.01029999976163,413.58240000045043,352.0,0.6288316055144185,0.0,220,250,290,300,350,360,410,410,410,410,410
GET,admin permissions,2032,0,10,18.19693666340833,5.07840000136639,503.07129999782774,1716.0,17.03714429873731,0.0,10,13,15,17,27,44,110,190,440,500,500
GET,admin users,2748,0,13,21.402540429369626,6.91480000023148,537.5392999994801,6141.0,23.040390026048293,0.0,13,16,19,21,33,50,120,220,440,540,540
GET,health live,5629,0,4,7.917689873853474,2.0100000001548324,512.4424000023282,17.0,47.19590809920882,0.0,4,5,6,7,10,16,36,93,320,510,510
POST,student anti-cheat,139,0,17,77.27410791371865,6.733000001986511,600.3474999997707,248.53956834532374,1.165434575553389,0.0,17,32,78,140,250,380,470,540,600,600,600
GET,student assigned exams,16715,0,10,16.609996117265897,4.194599998299964,577.0427999996173,550.3434639545319,140.14560381564672,0.0,10,12,14,17,24,39,86,170,370,550,580
PUT,student autosave,278,0,44,114.16814784167249,13.01209999655839,603.8733999994292,112.0,2.330869151106778,0.0,44,94,170,220,300,450,510,560,600,600,600
GET,student questions,150,0,15,41.39724133332493,8.718199998838827,512.2226999992563,541.0,1.257663211028837,0.0,15,20,25,36,120,240,320,380,510,510,510
POST,student start,150,0,230,277.6255946665818,58.76930000158609,637.6971999998204,379.0,1.257663211028837,0.0,240,310,400,490,560,580,630,630,640,640,640
POST,student submit,150,0,38,104.40243733348325,13.608599998406135,663.5515000016312,211.0,1.257663211028837,0.0,39,71,99,150,310,480,590,630,660,660,660
GET,teacher anti-cheat subjects,3352,0,10,17.515225984487206,4.605300000548596,549.8999000010372,98.0,28.104580555791078,0.0,10,12,14,16,25,40,100,210,500,550,550
GET,teacher exams,6667,0,12,19.687410919443995,5.404299998190254,550.5258999983198,115.28093595320234,55.898937519528374,0.0,12,15,17,20,31,49,110,190,420,550,550
GET,teacher question bank,4783,0,11,17.879642734671826,5.072299998573726,582.8865000003134,821.0,40.10268758900618,0.0,11,13,15,18,27,46,100,190,330,580,580
,Aggregated,43043,0,10,19.855421322860675,2.0100000001548324,663.5515000016312,813.255233138954,360.89065061542817,0.0,10,13,15,17,28,53,160,250,540,630,660
