Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ADMIN login,25,0,230,235.24715600025957,128.06220000129542,425.266999998712,339.0,0.21086190372241373,0.0,230,270,280,290,380,380,430,430,430,430,430
POST,STUDENT login,150,0,200,238.02130333332266,123.75919999976759,482.0149000006495,358.37333333333333,1.2651714223344823,0.0,210,240,270,300,420,460,480,480,480,480,480
POST,TEACHER login,75,0,230,265.39148533328745,141.0150000010617,511.20119999905,352.0,0.6325857111672412,0.0,230,250,310,370,460,470,480,510,510,510,510
GET,admin permissions,2017,0,11,15.72938874560837,5.177399998501642,290.5009999994945,1716.0,17.01233839232434,0.0,11,13,16,18,27,38,66,110,220,290,290
GET,admin users,2744,0,13,20.053189759487754,6.999199998972472,332.8643999993801,6141.0,23.144202552572132,0.0,13,17,20,22,36,52,85,130,260,330,330
GET,health live,5681,0,4,6.407710473481175,2.041700001427671,145.67729999907897,17.0,47.91625900188129,0.0,4,5,7,7,10,15,27,42,100,150,150
POST,student anti-cheat,215,0,18,61.132239535021824,6.094000000302913,699.988399999711,248.43255813953488,1.8134123720127582,0.0,18,30,50,77,140,310,500,630,700,700,700
GET,student assigned exams,16539,0,10,13.928146302677266,4.525899999862304,256.7495000002964,550.1490416591088,139.49780102660003,0.0,10,12,15,16,24,35,53,78,160,260,260
PUT,student autosave,356,0,73,182.52554803369637,12.404100001731422,1073.7662999999884,111.17696629213484,3.0026735090071717,0.0,75,180,250,330,510,680,880,1000,1100,1100,1100
GET,student questions,150,0,14,22.852947999854223,8.134800002153497,233.49539999981062,541.0,1.2651714223344823,0.0,14,17,20,25,53,63,110,120,230,230,230
POST,student start,150,0,280,359.7202326665865,60.732799996912945,1186.9709999991755,377.56,1.2651714223344823,0.0,290,340,440,530,610,1100,1100,1100,1200,1200,1200
POST,student submit,150,0,38,124.4073666667585,15.43130000209203,618.0325999994238,210.28,1.2651714223344823,0.0,39,82,170,220,410,530,580,580,620,620,620
GET,teacher anti-cheat subjects,3274,0,10,13.894765241367535,4.2644999994081445,211.86739999757265,98.0,27.614474911487303,0.0,10,12,14,16,24,35,62,87,140,210,210
GET,teacher exams,6676,0,12,17.48606574293519,5.376500001148088,341.558600001008,114.61863391252247,56.30856277003336,0.0,12,15,18,20,32,47,73,110,200,340,340
GET,teacher question bank,5022,0,11,16.07303574271264,4.9413000015192665,325.14290000108304,821.0,42.35793921975847,0.0,11,13,16,18,28,40,68,110,270,330,330
,Aggregated,43224,0,10,18.788578359238635,2.041700001427671,1186.9709999991755,811.2998565611697,364.57179705990444,0.0,10,13,15,18,28,46,110,210,610,1100,1200
