Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786637381,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786637382,20,,Aggregated,0.000000,0.000000,22,72,110,110,130,140,140,140,140,140,140,85,0,22,51.07357411771398,3.0411999996431405,139.25280000057683,570.9882352941177
1786637383,40,,Aggregated,0.000000,0.000000,16,46,84,110,130,130,140,140,140,140,140,210,0,16,45.31339809525542,2.6136999995287624,143.09049999974377,612.3904761904762
1786637384,80,,Aggregated,85.000000,0.000000,57,120,130,140,250,420,480,490,620,620,620,326,0,57,103.4617800613569,2.6136999995287624,619.9910999994245,555.4141104294479
1786637385,100,,Aggregated,103.500000,0.000000,49,110,130,140,260,400,470,490,620,620,620,481,0,49,98.40804740125121,2.6136999995287624,619.9910999994245,551.5343035343035
1786637386,100,,Aggregated,106.666667,0.000000,81,130,220,300,560,780,1200,1300,1400,1400,1400,577,0,81,185.72251421143875,2.6136999995287624,1447.2089000000778,570.7244367417678
1786637388,100,,Aggregated,104.400000,0.000000,59,120,200,290,480,690,960,1200,1400,1400,1400,745,0,59,169.17553275166733,2.6136999995287624,1447.2089000000778,576.4442953020134
1786637389,100,,Aggregated,106.500000,0.000000,77,140,260,390,600,760,960,1200,1400,1400,1400,859,0,77,194.2780933643698,2.6136999995287624,1447.2089000000778,600.5541327124563
1786637391,100,,Aggregated,105.714286,0.000000,68,130,260,400,630,750,940,1200,1400,1400,1400,948,0,67,193.50238776370375,2.6136999995287624,1447.2089000000778,634.4008438818565
1786637392,100,,Aggregated,102.888889,0.000000,90,200,370,430,640,760,940,1200,1400,1400,1400,1118,0,89,215.1515940071546,2.6136999995287624,1447.2089000000778,644.2361359570662
1786637393,100,,Aggregated,94.800000,0.000000,94,200,390,450,660,780,1100,1200,1400,1400,1400,1229,0,94,223.19626663953477,2.6136999995287624,1447.2089000000778,664.0439381611066
1786637395,100,,Aggregated,91.100000,0.000000,93,210,400,470,700,830,1100,1200,1400,1400,1400,1354,0,93,234.11974394386542,2.6136999995287624,1447.2089000000778,670.9896602658789
1786637397,100,,Aggregated,83.200000,0.000000,86,210,400,470,700,820,1100,1200,1400,1400,1400,1490,0,86,230.81378738254168,2.6136999995287624,1447.2089000000778,683.103355704698
1786637399,100,,Aggregated,82.000000,0.000000,83,190,370,460,680,800,1100,1200,1400,1400,1400,1647,0,83,220.80161548268438,2.6136999995287624,1447.2089000000778,698.3096539162113
1786637400,100,,Aggregated,79.900000,0.000000,93,210,400,480,730,850,1100,1200,1400,1400,1400,1736,0,93,239.1677123847834,2.6136999995287624,1447.2089000000778,693.1532258064516
1786637401,100,,Aggregated,79.700000,0.000000,84,190,390,470,710,840,1100,1200,1400,1400,1400,1830,0,84,229.61183672130105,2.6136999995287624,1447.2089000000778,709.4557377049181
1786637402,100,,Aggregated,73.000000,0.000000,89,220,420,520,780,890,1100,1200,1400,1400,1400,1927,0,89,249.30589226776212,2.6136999995287624,1447.2089000000778,706.1883757135444
1786637404,100,,Aggregated,87.100000,0.000000,90,220,420,520,780,880,1100,1200,1400,1400,1400,1994,0,90,247.0955115847418,2.6136999995287624,1447.2089000000778,709.210631895687
1786637405,100,,Aggregated,83.500000,0.000000,87,210,400,500,760,860,1100,1100,1400,1400,1400,2126,0,87,241.48637812792975,2.6136999995287624,1447.2089000000778,713.4134524929445
1786637406,100,,Aggregated,74.200000,0.000000,92,220,420,510,760,860,1100,1100,1400,1400,1400,2261,0,92,244.0045412649173,2.6136999995287624,1447.2089000000778,717.4166298098187
1786637408,100,,Aggregated,73.300000,0.000000,95,240,440,540,790,930,1100,1200,1400,1400,1400,2313,0,95,256.68400129700615,2.6136999995287624,1447.2089000000778,725.9377431906614
1786637409,100,,Aggregated,80.800000,0.000000,90,210,420,520,780,910,1100,1200,1400,1400,1400,2443,0,90,247.34134420792972,2.6136999995287624,1447.2089000000778,735.4592713876382
1786637410,100,,Aggregated,73.200000,0.000000,96,240,440,540,780,910,1100,1200,1400,1400,1400,2522,0,96,254.9897879857131,2.6136999995287624,1447.2089000000778,736.3953211736717
1786637412,100,,Aggregated,76.400000,0.000000,87,210,420,510,780,890,1100,1100,1400,1400,1400,2647,0,87,245.02815372118314,2.6136999995287624,1447.2089000000778,744.1484699659992
1786637413,100,,Aggregated,74.100000,0.000000,91,220,430,540,780,910,1100,1100,1400,1400,1400,2749,0,91,250.76673637685377,2.6136999995287624,1447.2089000000778,748.6798835940342
1786637415,100,,Aggregated,72.800000,0.000000,92,230,440,540,790,930,1100,1200,1400,1400,1400,2856,0,92,255.26113578430366,2.6136999995287624,1447.2089000000778,750.2584033613446
1786637416,100,,Aggregated,80.700000,0.000000,86,220,430,520,780,910,1100,1100,1400,1400,1400,2970,0,86,248.4086107070627,2.6136999995287624,1447.2089000000778,755.2565656565656
1786637417,100,,Aggregated,70.300000,0.000000,89,230,440,560,800,940,1100,1200,1400,1400,1400,3067,0,89,256.18569246820357,2.6136999995287624,1447.2089000000778,756.3120313009456
1786637418,100,,Aggregated,82.000000,0.000000,87,210,430,540,790,930,1100,1200,1400,1400,1400,3155,0,87,250.70789622820269,2.6136999995287624,1447.2089000000778,757.0418383518225
1786637419,100,,Aggregated,70.300000,0.000000,89,210,420,500,780,920,1100,1100,1400,1400,1400,3328,0,89,246.38077262619768,2.6136999995287624,1447.2089000000778,763.5024038461538
1786637420,100,,Aggregated,80.200000,0.000000,87,190,400,480,770,910,1100,1100,1400,1400,1400,3451,0,87,239.82497757171382,2.6136999995287624,1447.2089000000778,769.3036800927267
1786637422,100,,Aggregated,88.800000,0.000000,90,200,420,510,780,920,1100,1200,1400,1400,1400,3556,0,90,247.06984035432572,2.6136999995287624,1447.2089000000778,770.9204161979752
1786637424,100,,Aggregated,86.500000,0.000000,89,210,420,510,770,910,1100,1200,1400,1400,1400,3688,0,89,247.09310333513855,2.6136999995287624,1447.2089000000778,773.3289045553146
1786637425,100,,Aggregated,92.800000,0.000000,88,210,410,510,770,930,1100,1200,1400,1400,1400,3828,0,87,245.12515342215062,2.6136999995287624,1447.2089000000778,771.7578369905956
1786637427,100,,Aggregated,89.700000,0.000000,90,220,420,540,780,940,1100,1200,1400,1400,1400,3881,0,90,251.6346526926025,2.6136999995287624,1447.2089000000778,773.9945890234476
1786637428,100,,Aggregated,88.000000,0.000000,90,210,420,540,780,930,1100,1200,1400,1400,1400,3990,0,89,249.82750042606256,2.6136999995287624,1447.2089000000778,777.3135338345865
1786637430,100,,Aggregated,89.500000,0.000000,87,200,410,510,780,920,1100,1200,1400,1400,1400,4140,0,87,244.42906219806292,2.6136999995287624,1447.2089000000778,778.2282608695652
1786637431,100,,Aggregated,88.600000,0.000000,90,210,430,520,770,910,1100,1200,1400,1400,1400,4214,0,90,249.32507306596614,2.6136999995287624,1447.2089000000778,780.2434741338395
1786637432,100,,Aggregated,80.600000,0.000000,87,200,420,510,760,910,1100,1200,1400,1400,1400,4344,0,86,243.82483110036324,2.6136999995287624,1447.2089000000778,785.5920810313075
1786637433,100,,Aggregated,74.100000,0.000000,89,210,430,530,770,910,1100,1100,1400,1400,1400,4444,0,89,248.26810351034786,2.6136999995287624,1447.2089000000778,788.671692169217
1786637435,100,,Aggregated,73.500000,0.000000,88,210,430,520,760,910,1100,1100,1400,1400,1400,4550,0,88,247.025700725271,2.6136999995287624,1447.2089000000778,785.7404395604395
1786637436,100,,Aggregated,84.500000,0.000000,86,200,420,510,750,890,1100,1100,1400,1400,1400,4702,0,86,241.80678015737675,2.6136999995287624,1447.2089000000778,786.0185027647809
1786637437,100,,Aggregated,81.300000,0.000000,87,210,420,520,760,890,1100,1100,1400,1400,1400,4774,0,87,243.9127642857116,2.6136999995287624,1447.2089000000778,784.1470465018853
1786637439,100,,Aggregated,87.100000,0.000000,85,200,410,500,750,880,1100,1100,1400,1400,1400,4914,0,85,239.5960788156257,2.6136999995287624,1447.2089000000778,783.3854293854293
1786637440,100,,Aggregated,88.500000,0.000000,84,200,420,500,750,880,1100,1100,1400,1400,1400,5042,0,84,238.87516798889146,2.6136999995287624,1447.2089000000778,780.9533915113051
1786637442,100,,Aggregated,87.300000,0.000000,84,200,420,500,750,880,1100,1100,1400,1400,1400,5096,0,84,240.41215985086137,2.6136999995287624,1447.2089000000778,781.0247252747253
