Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ADMIN login,2,0,200.6863999995403,261.04674999987765,200.6863999995403,321.407100000215,339.0,0.03399045489324134,0.0,320,320,320,320,320,320,320,320,320,320,320
POST,STUDENT login,12,0,120,168.29110833335412,93.36140000050364,332.916500000465,357.8333333333333,0.20394272935944804,0.0,130,130,310,310,330,330,330,330,330,330,330
POST,TEACHER login,6,0,99,143.99165000016487,88.23389999997744,332.76310000019294,352.0,0.10197136467972402,0.0,120,120,120,120,330,330,330,330,330,330,330
GET,admin permissions,92,0,9,28.280905434851025,6.252199999835284,467.70199999991746,1716.0,1.5635609250891016,0.0,9,11,14,16,54,160,270,470,470,470,470
GET,admin users,95,0,12,22.791096842056984,7.728399999905378,178.53099999956612,6141.0,1.6145466074289636,0.0,12,13,15,16,28,130,160,180,180,180,180
GET,health live,251,0,5,16.908212749034742,2.4476999997204985,577.1033999999418,17.0,4.265802089101788,0.0,5,6,7,8,18,68,180,310,580,580,580
POST,student anti-cheat,9,0,27,85.31747777770862,7.824000000255182,331.05669999986276,248.55555555555554,0.15295704701958604,0.0,27,89,140,140,330,330,330,330,330,330,330
GET,student assigned exams,622,0,9,19.45610707397905,5.6200999997599865,467.7302999998574,549.5948553054662,10.571031471798056,0.0,9,10,11,12,19,88,160,190,470,470,470
PUT,student autosave,21,0,19,19.082242857188074,15.333600000303704,24.961500000244996,110.0,0.3568997763790341,0.0,19,20,21,21,23,23,25,25,25,25,25
GET,student questions,12,0,15,38.06335000005371,10.61200000003737,159.6999000003052,541.0,0.20394272935944804,0.0,16,17,85,85,86,160,160,160,160,160,160
POST,student start,12,0,30,89.48897500007054,23.275200000171026,314.2133000001195,375.5,0.20394272935944804,0.0,33,34,180,180,310,310,310,310,310,310,310
POST,student submit,12,0,20,21.73817500003376,16.264300000329968,28.832300000431133,209.25,0.20394272935944804,0.0,22,23,24,24,27,29,29,29,29,29,29
GET,teacher anti-cheat subjects,142,0,8,20.909811971878426,5.296199999975215,319.8818000000756,98.0,2.413322297420135,0.0,8,10,11,13,41,100,160,180,320,320,320
GET,teacher exams,252,0,10,18.91611150795287,6.6815000000133296,523.6038999992161,182.4920634920635,4.282797316548409,0.0,10,11,12,13,17,57,150,200,520,520,520
GET,teacher question bank,201,0,9,27.204127363173445,6.20600000002014,425.28720000063913,821.0,3.416040716770755,0.0,9,11,14,17,83,120,170,350,430,430,430
,Aggregated,1741,0,9,23.367230097665903,2.4476999997204985,577.1033999999418,768.2062033314187,29.588690984566586,0.0,9,11,13,14,38,110,180,310,520,580,580
